,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1400,1515,1506,1500,2.1,0.1,29,151.0,-34.41968752889495,-3.8807997912568246,266.4444533156248,1000.0,1000.0,-31.985586099402898,-13.292771662985475,Controller Detection,1500,1500,3.6,4.675690650939941
1,1700,1515,1506,1500,2.1,0.1,29,151.0,-34.30101676364583,-3.7788836551571072,265.4959675982414,1000.0,1000.0,-31.83238438621523,-13.324376795459024,Controller Detection,1500,1500,3.6,4.723695516586304
2,1700,1515,1506,1500,1.8,0.1,28,152.0,-33.686577572443134,-3.7819613396770566,259.4409864004552,1000.0,1000.0,-31.51900587977819,-12.475616556689648,Controller Detection,1500,1500,3.6,4.7766923904418945
3,1700,1516,1506,1500,1.8,0.1,28,152.0,-34.60083370945936,-3.925910983496472,266.83427906523923,1000.0,1000.0,-32.39382639945954,-12.777733822617993,Controller Detection,1500,1500,3.6,4.828692436218262
4,1700,1515,1506,1500,1.8,0.1,28,152.0,-33.88857304915635,-3.802586028286506,261.3561008779033,1000.0,1000.0,-31.707040004503966,-12.552237169656705,Controller Detection,1500,1500,3.6,4.878685712814331
5,1700,1515,1506,1500,1.8,-0.1,29,151.0,-33.67107153246808,-3.823885767398341,260.0001640673706,1000.0,1000.0,-31.303239329554643,-12.979613552926665,Controller Detection,1500,1500,3.6,4.930689096450806
6,1700,1515,1506,1500,1.8,-0.1,29,151.0,-33.88857304915635,-3.802586028286506,261.3561008779033,1000.0,1000.0,-31.483144123952755,-13.103689552219445,Controller Detection,1500,1500,3.6,4.981689691543579
7,1700,1515,1506,1500,1.8,-0.1,29,151.0,-33.29091135017333,-3.742976716247285,256.71128428282117,1000.0,1000.0,-30.931518255886914,-12.86607288993823,Controller Detection,1500,1500,3.6,5.033696413040161
8,1700,1515,1506,1500,1.8,-0.1,29,151.0,-33.79767088903947,-3.808860511808048,261.3096604642473,1000.0,1000.0,-31.406681233266312,-13.054131523553549,Controller Detection,1500,1500,3.6,5.090686798095703
9,1700,1515,1506,1500,2.4,0.1,29,151.0,-32.774218944776514,-3.5123748924176215,252.39754710575096,1000.0,1000.0,-30.367810912958628,-12.817264340717346,Controller Detection,1500,1500,3.6,5.141685247421265
10,1686,1515,1506,1500,3.1,0.0,29,151.0,-33.79767088903947,-3.808860511808048,261.3096604642473,1000.0,1000.0,-31.406681233266312,-13.054131523553549,Controller Detection,1500,1500,3.6,5.195696830749512
11,1700,1515,1506,1500,2.8,0.2,29,151.0,-32.61119916014926,-3.589220838633109,252.1770723805761,1000.0,1000.0,-30.262486250672215,-12.671019801865727,Controller Detection,1500,1500,3.6,5.248690128326416
12,1686,1515,1506,1500,2.7,0.1,29,151.0,-32.536608578365765,-3.5807620284288366,251.51421192573116,1000.0,1000.0,-30.193146945314506,-12.642255812340926,Controller Detection,1500,1500,3.6,5.3006861209869385
13,1683,1515,1506,1500,2.7,0.1,29,151.0,-34.41968752889495,-3.8807997912568246,266.4444533156248,1000.0,1000.0,-31.985586099402898,-13.292771662985475,Controller Detection,1500,1500,3.6,5.3476879596710205
