,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1200,1500,1500,1500,4.9,1.8,17,163.0,-5.368731483717338,-6.328810434873088,161.81589700869847,1000.0,1000.0,-6.9845085470782635,4.482606342364553,Controller Detection,1500,1500,3.6,41.52722406387329
1,1455,1500,1500,1500,5.2,1.6,17,163.0,-5.405863374227395,-6.282584817347052,160.06434640475356,1000.0,1000.0,-7.006502887972982,4.427544250349074,Controller Detection,1500,1500,3.6,41.579219341278076
2,1445,1500,1500,1500,5.3,1.3,18,162.0,-5.493797024269963,-6.353027437605169,159.12028075921137,1000.0,1000.0,-7.188104903085195,4.344411498590364,Controller Detection,1500,1500,3.6,41.625404596328735
3,1514,1500,1500,1500,6.8,0.3,19,161.0,-5.530790350010426,-6.401963924656196,159.0941354236243,1000.0,1000.0,-7.313740593531918,4.252526604136792,Controller Detection,1500,1500,3.6,43.359384298324585
4,1519,1500,1500,1500,6.8,0.3,19,161.0,-6.18338085662893,-7.808341766166097,169.54879828769717,1000.0,1000.0,-8.3886488781293,5.369820290739627,Controller Detection,1500,1500,3.6,43.404380798339844
5,1535,1500,1500,1500,6.6,0.0,19,161.0,-5.89108186727815,-7.418186690958536,161.82570383236506,1000.0,1000.0,-7.985252686281813,5.0960846622791545,Controller Detection,1500,1500,3.6,43.44638228416443
6,1542,1500,1500,1500,6.6,0.0,19,161.0,-6.18338085662893,-7.808341766166097,169.54879828769717,1000.0,1000.0,-8.3886488781293,5.369820290739627,Controller Detection,1500,1500,3.6,43.48938059806824
7,1541,1500,1500,1500,6.6,-0.4,19,161.0,-5.890816815012411,-7.4733884889675934,161.8220493152342,1000.0,1000.0,-8.002974021941577,5.148365280280191,Controller Detection,1500,1500,3.6,43.53239631652832
8,1543,1500,1500,1500,6.5,-0.4,19,161.0,-6.166641427284117,-7.701619807451646,168.5568677925926,1000.0,1000.0,-8.33807616560013,5.274362521469227,Controller Detection,1500,1500,3.6,43.5743932723999
9,1540,1500,1500,1500,6.5,-0.4,19,161.0,-6.295701530701195,-7.696313895717197,169.54999125681664,1000.0,1000.0,-8.45837745485865,5.227327823680267,Controller Detection,1500,1500,3.6,43.617400884628296
10,1553,1500,1500,1500,6.5,-0.4,19,161.0,-6.122219247837464,-7.265379218068818,161.83952377382295,1000.0,1000.0,-8.154048126180044,4.87635138775678,Controller Detection,1500,1500,3.6,43.66339921951294
11,1544,1500,1500,1500,6.5,-0.4,19,161.0,-6.13910045577468,-7.158170814478636,159.4530981370318,1000.0,1000.0,-8.135105979764084,4.769487866988787,Controller Detection,1500,1500,3.6,43.713398694992065
12,1527,1500,1500,1500,6.5,-0.4,19,161.0,-6.300826700657451,-7.324771601559433,162.70413387588692,1000.0,1000.0,-8.342261059243672,4.874359090809378,Controller Detection,1500,1500,3.6,43.76540732383728
13,1526,1500,1500,1500,6.5,-0.4,19,161.0,-6.300826700657451,-7.324771601559433,162.70413387588692,1000.0,1000.0,-8.342261059243672,4.874359090809378,Controller Detection,1500,1500,3.6,43.8144006729126
14,1531,1500,1500,1500,6.5,-0.4,19,161.0,-6.38435194297916,-7.361765345819437,163.47203676894162,1000.0,1000.0,-8.433279712435471,4.882144204194916,Controller Detection,1500,1500,3.6,43.85640335083008
15,1533,1500,1500,1500,5.3,0.7,20,160.0,-6.6012140877227425,-7.553627970840989,165.87089220082785,1000.0,1000.0,-8.78660508767686,4.840340275954954,Controller Detection,1500,1500,3.6,43.91039800643921
16,1538,1500,1500,1500,4.7,0.3,19,161.0,-6.743242755100684,-7.691584548765826,169.00230810255488,1000.0,1000.0,-8.879996271116083,5.077150967816054,Controller Detection,1500,1500,3.6,43.95640230178833
17,1547,1500,1500,1500,4.7,0.7,19,161.0,-6.522402879499588,-7.319338804365324,161.2198332973994,1000.0,1000.0,-8.549996706493204,4.79708413252758,Controller Detection,1500,1500,3.6,44.01039671897888
18,1542,1500,1500,1500,4.7,0.7,19,161.0,-6.829784925336939,-7.780380672047281,168.9519161967173,1000.0,1000.0,-8.990732690626833,5.132933977173341,Controller Detection,1500,1500,3.6,44.06040406227112
19,1540,1500,1500,1500,4.3,1.1,20,160.0,-6.643222492125194,-7.62028217822044,164.90553700346467,1000.0,1000.0,-8.848877156866012,4.88860702227915,Controller Detection,1500,1500,3.6,44.10439968109131
20,1547,1500,1500,1500,4.0,2.3,20,160.0,-6.783379654668713,-7.777370712192593,167.70568664821886,1000.0,1000.0,-9.034309251162423,4.988285385641605,Controller Detection,1500,1500,3.6,44.15339493751526
21,1545,1500,1500,1500,4.0,2.3,20,160.0,-6.57097801943766,-7.533834702630179,162.45227648150095,1000.0,1000.0,-8.751422780997444,4.832082032284489,Controller Detection,1500,1500,3.6,44.20339846611023
