,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1400,1499,1500,1500,0.4,0.2,205,15.0,-0.941207296584576,-0.5036295944779613,263.98001460150437,1000.0,1000.0,0.7787875049346011,-0.7300712059352982,Controller Detection,1500,1500,3.9,18.900919437408447
1,1700,1499,1500,1500,0.4,0.2,206,14.0,-0.8963083259296943,-0.4566362530401383,264.46289935258415,1000.0,1000.0,0.7592138301401755,-0.6599088140382071,Controller Detection,1500,1500,3.9,18.957921981811523
2,1700,1499,1500,1500,0.4,0.2,208,12.0,-0.8533858396607334,-0.5065407103916817,263.847030446002,1000.0,1000.0,0.7294215759987871,-0.6729004733874173,Controller Detection,1500,1500,3.9,19.01992702484131
3,1700,1499,1500,1500,0.4,0.2,208,12.0,-0.9326323449311924,-0.5289850318603695,275.77171368863446,1000.0,1000.0,0.8022699181698132,-0.7113306074842922,Controller Detection,1500,1500,3.9,19.076918840408325
4,1700,1499,1500,1500,0.4,0.2,207,13.0,-0.8656763788486465,-0.5116369361325965,269.3100747335072,1000.0,1000.0,0.7283958811175112,-0.6932585287486195,Controller Detection,1500,1500,3.9,19.13492202758789
5,1700,1499,1500,1500,0.4,0.2,207,13.0,-0.9326705210591913,-0.47711178103335816,275.04478596485126,1000.0,1000.0,0.8014394378443903,-0.6746886540629793,Controller Detection,1500,1500,3.9,19.194926738739014
6,1700,1499,1500,1500,0.4,0.2,207,13.0,-0.9584794282941491,-0.6010868000316614,269.45793080103283,1000.0,1000.0,0.7986985532229832,-0.8012919422500735,Controller Detection,1500,1500,3.9,19.255934953689575
7,1700,1499,1500,1500,0.4,0.2,207,13.0,-0.90854126043244,-0.47262491611291585,269.43791073813264,1000.0,1000.0,0.7789379335988347,-0.6648888845812396,Controller Detection,1500,1500,3.9,19.32591962814331
8,1700,1499,1500,1500,0.4,0.2,207,13.0,-0.9072583687390479,-0.5610394296893422,269.10842197577455,1000.0,1000.0,0.7577989842881148,-0.7507487520636197,Controller Detection,1500,1500,3.9,19.391921997070312
9,1700,1499,1500,1500,0.4,0.2,207,13.0,-0.941207296584576,-0.5036295944779613,263.98001460150437,1000.0,1000.0,0.8037922062728589,-0.7024471743220921,Controller Detection,1500,1500,3.9,19.45992398262024
10,1700,1499,1500,1500,0.4,0.2,207,13.0,-0.9611685459640976,-0.5632605985245602,270.65406276710786,1000.0,1000.0,0.8098277928921118,-0.7650401436921296,Controller Detection,1500,1500,3.9,19.528922080993652
11,1700,1499,1500,1500,0.3,0.2,207,13.0,-0.8963145448612921,-0.5440897633531204,264.4471989114677,1000.0,1000.0,0.7509484952204575,-0.7317716798576523,Controller Detection,1500,1500,3.9,19.59392476081848
12,1700,1499,1500,1500,0.3,0.2,207,13.0,-0.9382945291477917,-0.4669140339075254,265.16959048180655,1000.0,1000.0,0.8092132969379207,-0.6660174010844871,Controller Detection,1500,1500,3.9,19.662923574447632
13,1700,1499,1500,1500,0.3,0.2,207,13.0,-0.8708244867734038,-0.47332052936581226,270.4178733041499,1000.0,1000.0,0.7420313594705349,-0.6570822413104807,Controller Detection,1500,1500,3.9,19.725926399230957
14,1700,1499,1500,1500,0.3,0.1,207,13.0,-0.9552464867968242,-0.5193651767727642,269.4535589877624,1000.0,1000.0,0.8139318371215688,-0.720937585302492,Controller Detection,1500,1500,3.9,19.786927938461304
15,1700,1499,1500,1500,0.2,0.1,207,13.0,-0.941207296584576,-0.5036295944779613,263.98001460150437,1000.0,1000.0,0.8037922062728589,-0.7024471743220921,Controller Detection,1500,1500,3.9,19.844927310943604
16,1700,1499,1500,1500,0.2,0.1,207,13.0,-0.9411653083259,-0.5939953488404287,263.9659914716034,1000.0,1000.0,0.7834234224501168,-0.7904874149515568,Controller Detection,1500,1500,3.9,19.908926010131836
17,1700,1499,1500,1500,0.2,0.1,207,13.0,-0.9584794282941491,-0.6010868000316614,269.45793080103283,1000.0,1000.0,0.7986985532229832,-0.8012919422500735,Controller Detection,1500,1500,3.9,19.9729220867157
18,1700,1499,1500,1500,0.2,0.1,207,13.0,-0.8968854883624727,-0.5021576395172859,264.91396893850566,1000.0,1000.0,0.76093748094444,-0.6910427079817091,Controller Detection,1500,1500,3.9,20.031922578811646
19,1700,1499,1500,1500,0.2,0.1,207,13.0,-0.9326323449311924,-0.5289850318603695,275.77171368863446,1000.0,1000.0,0.7897332977022987,-0.7252238090716708,Controller Detection,1500,1500,3.9,20.09192156791687
20,1700,1499,1500,1500,0.2,0.1,207,13.0,-0.9552464867968242,-0.5193651767727642,269.4535589877624,1000.0,1000.0,0.8139318371215688,-0.720937585302492,Controller Detection,1500,1500,3.9,20.150922060012817
21,1700,1499,1500,1500,0.3,0.1,207,13.0,-1000.0,-1000.0,-1000.0,-0.9747929072686918,-0.511050303118127,0.8348477236984085,-0.7172328092147372,Controller Memory,1500,1500,3.9,20.201918840408325
22,1700,1499,1500,1500,0.3,0.1,207,13.0,-0.8707011753431529,-0.5669500381663948,270.42236387449543,-0.9747929072686918,-0.511050303118127,0.7208491517818634,-0.7482842928300665,Controller Detection,1500,1500,3.9,20.259925365447998
23,1700,1499,1500,1500,0.8,0.1,207,13.0,-0.7135632330247964,-0.5080366845829015,262.7748312143829,-0.9747929072686918,-0.511050303118127,0.5809912657484475,-0.6555325388802629,Controller Detection,1500,1500,3.9,20.323922634124756
24,1700,1499,1500,1500,0.1,1.5,205,15.0,-0.5984920159821401,-0.5193659167996283,269.4472889265449,-0.9747929072686918,-0.511050303118127,0.4436771044200839,-0.6565700844090405,Controller Detection,1500,1500,3.9,20.38992214202881
25,1700,1499,1500,1500,2.4,-2.7,208,12.0,-0.38494592126578875,-0.4352917150743574,275.75780313011126,-0.9747929072686918,-0.511050303118127,0.28603169281832375,-0.5058143040830563,Controller Detection,1500,1500,3.9,20.455934524536133
26,1700,1499,1500,1500,2.4,-2.7,208,12.0,-1000.0,-1000.0,-1000.0,-0.15850573817966912,-0.34614104408326685,0.08307523776620755,-0.371532227814794,Controller Memory,1500,1500,3.9,20.525932788848877
27,1700,1500,1500,1500,7.8,1.8,211,9.0,-1000.0,-1000.0,-1000.0,0.07114369850775482,-0.25572687335446387,-0.11027229815254155,-0.24144912477200928,Controller Memory,1500,1500,3.9,20.596923112869263
