,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,Pterm_z,Iterm_z,Dterm_z,Pterm_roll,Iterm_roll,Dterm_roll,Pterm_pitch,Iterm_pitch,Dterm_pitch,mode,AUX2,AUX3,Battery,time step
0,1400,1504,1497,1500,0.4,0.5,278,-88.0,-3.5396940537362163,7.880830720231588,359.48702224215515,1000.0,1000.0,-7.752496390133512,3.812574793491704,2058.204577847543,0.0,0.0,1503.1009985560534,0.00038762481950667567,1.5504992780267024,1498.4749700826032,-0.00019062873967458523,-0.7625149586983409,Controller Detection,1500,1500,3.9,7.970195293426514
1,1750,1503,1498,1500,0.4,0.5,278,-88.0,-3.5469707936979913,7.787328878424849,360.55664434274894,1000.0,1000.0,-7.658797552560167,3.8165839334402936,2061.948255199621,0.0,0.0,1503.0635190210241,0.0011581895166413595,0.12221471230594029,1498.473366426624,-0.0005720866760211851,-0.07012136968956705,Controller Detection,1500,1500,3.9,8.031198501586914
2,1750,1503,1498,1500,0.4,0.5,278,-88.0,-3.5469707936979913,7.787328878424849,360.55664434274894,1000.0,1000.0,-7.658797552560167,3.8165839334402936,2061.948255199621,0.0,0.0,1503.0635190210241,0.0019240692718973762,0.011110428391449111,1498.473366426624,-0.0009537450693652145,-0.006374669971778819,Controller Detection,1500,1500,3.9,8.092198133468628
3,1750,1503,1498,1500,0.4,0.5,278,-88.0,-3.6942653578971902,7.984916724033233,375.5881494728493,1000.0,1000.0,-7.851124526834084,3.970684486137012,2114.5585231549726,0.0,0.0,1503.1404498107336,0.002699565375867089,0.03947543379946061,1498.4117262055452,-0.0013431084903440798,-0.03139962599132355,Controller Detection,1500,1500,3.9,8.159193277359009
4,1750,1503,1498,1500,0.3,0.6,279,-89.0,-3.8477023248018347,8.301185515526006,384.62103800586254,1000.0,1000.0,-8.232769539942176,3.9919919646292543,2146.173633020519,0.0,0.0,1503.2931078159768,0.003503760079205902,0.07991767842156923,1498.4032032141483,-0.0017412423128823932,-0.007116007152205177,Controller Detection,1500,1500,3.9,8.22221565246582
5,1750,1503,1498,1500,0.8,0.8,280,-90.0,-3.56941141447537,7.8331032594873635,368.93238149916016,1000.0,1000.0,-7.8331032594873635,3.5694114144753706,2091.2633352470607,0.0,0.0,1503.1332413037949,0.004307053719177379,-0.0726680125980925,1498.57223543421,-0.0021193124818376244,0.08386920028966718,Controller Detection,1500,1500,3.9,8.29020380973816
6,1750,1503,1498,1500,0.8,0.8,280,-90.0,-3.5573859485998605,7.864747636306919,367.5058256356457,1000.0,1000.0,-7.864747636306919,3.557385948599861,2086.27038972476,0.0,0.0,1503.1458990545227,0.005091946263967093,-0.0002773075995519273,1498.57704562056,-0.002475652349991386,0.01002956592870804,Controller Detection,1500,1500,3.9,8.358192920684814
7,1750,1503,1498,1500,2.2,2.8,285,-95.0,-3.8086497625293276,7.840014102291067,374.60076987528896,1000.0,1000.0,-8.142126180585812,3.110854448082809,2111.1026945635112,0.0,0.0,1503.2568504722344,0.00589228995481173,0.055450499074001285,1498.755658220767,-0.0028090643698255196,0.09021807882420205,Controller Detection,1500,1500,3.9,8.426206111907959
8,1750,1502,1498,1500,2.2,2.8,285,-95.0,-3.8474926636926448,7.37112840167784,366.7034105332103,1000.0,1000.0,-7.678410113525246,3.190415621780909,2083.461936866236,0.0,0.0,1503.07136404541,0.006683316769517283,-0.0877022589508405,1498.7238337512877,-0.0031241278733187055,-0.007710591210147159,Controller Detection,1500,1500,3.9,8.493201971054077
9,1750,1502,1498,1500,2.3,2.1,285,-95.0,-1000.0,-1000.0,-1000.0,-3.8845966255047335,6.923234021784875,-7.235453930321397,3.2664149591683835,2083.461936866236,0.0,0.0,1502.8941815721287,0.007429009971709616,-0.09656416927266423,1498.6934340163327,-0.00344696940236617,-0.015900830314780973,Controller Memory,1500,1500,3.9,8.557198524475098
