,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,Pterm_z,Iterm_z,Dterm_z,Pterm_roll,Iterm_roll,Dterm_roll,Pterm_pitch,Iterm_pitch,Dterm_pitch,mode,AUX2,AUX3,Battery,time step
0,1400,1501,1500,1500,-0.6,0.2,2,188.0,-3.560305103198497,2.6917392453654645,374.0389545642918,1000.0,1000.0,-3.900274156428551,-2.1700447224878694,2109.1363409750215,0.0,0.0,1501.5601096625714,0.0019501370782142756,0.07800548312857103,1500.8680178889952,0.0010850223612439347,0.004850172679287814,Controller Detection,1500,1500,3.8,8.948319435119629
1,1750,1501,1500,1500,-0.6,0.2,2,188.0,-3.4725282801228756,2.610079118507101,371.2408395312719,1000.0,1000.0,-3.801986678281514,-2.101395479030503,2099.3429383594516,0.0,0.0,1501.5207946713126,0.005801267495569308,0.07603973356563029,1500.8405581916122,0.0032207424620031206,-0.012850163667064884,Controller Detection,1500,1500,3.8,9.026889085769653
2,1750,1501,1500,1500,-0.6,0.2,2,188.0,-3.4884798204998435,2.512965234233739,366.2162530499847,1000.0,1000.0,-3.8042673389434665,-2.0030066750637765,2081.7568856749463,0.0,0.0,1501.5217069355774,0.0096043945041818,0.07608534677886933,1500.8012026700255,0.00527294353905026,-0.03654804605026777,Controller Detection,1500,1500,3.7,9.109925031661987
3,1750,1501,1500,1500,-0.6,0.2,2,188.0,-3.2927723585858466,2.3417860268312127,358.34295288907754,1000.0,1000.0,-3.5866409474814827,-1.860730586296159,2054.2003351117714,0.0,0.0,1501.4346563789925,0.013299848647394273,0.07173281894962966,1500.7442922345185,0.007204812169730228,-0.07420698328248969,Controller Detection,1500,1500,3.7,9.185485363006592
4,1500,1501,1500,1500,-0.5,0.0,2,188.0,-1000.0,-1000.0,-1000.0,-3.104845077702114,2.177411900896628,-3.377666105152978,-1.7241105604914164,2054.2003351117714,0.0,0.0,1501.3510664420612,0.016782002173711504,0.06755332210305956,1500.6896442241966,0.008997232743124016,-0.11186592051471159,Controller Memory,1500,1500,3.7,9.258041858673096
5,1750,1501,1500,1500,3.1,-1.3,0,190.0,-3.522288408521433,2.6004357105021683,369.8451822888757,-3.104845077702114,2.177411900896628,-3.92033785532565,-1.9492902855552456,2094.458138011065,0.0,0.0,1501.5681351421304,0.02043100415395082,0.078406757106513,1500.779716114222,0.010833933166147348,-0.05250547216804648,Controller Detection,1500,1500,3.7,9.333910465240479
6,1750,1501,1500,1500,3.1,-1.3,0,190.0,-3.366488065710171,2.68714967926701,373.3783972754007,-3.104845077702114,2.177411900896628,-3.781962192457441,-2.0617413198983785,2106.8243904639025,0.0,0.0,1501.512784876983,0.024282154177842366,0.07563924384914883,1500.8246965279593,0.012839448968874161,-0.023677362274975827,Controller Detection,1500,1500,3.7,9.411925315856934
7,1750,1501,1500,1500,5.9,-2.9,357,-167.0,-2.5947855277391723,2.5893355422739552,368.4397937416205,-3.104845077702114,2.177411900896628,-3.110755103051578,-1.9392712998150572,2089.5392780956718,0.0,0.0,1501.2443020412206,0.027728512825596876,0.06221510206103157,1500.775708519926,0.014839955278730879,-0.05408474604387357,Controller Detection,1500,1500,3.7,9.492478132247925
8,1750,1500,1500,1500,4.8,-2.3,356,-166.0,-1.3228649078051964,2.5602313266402628,374.09391642787506,-3.104845077702114,2.177411900896628,-1.9029461821983364,-2.1641515283984587,2109.328707497563,0.0,0.0,1500.7611784728792,0.030235363468221834,0.038058923643966736,1500.8656606113593,0.016891666692837638,0.007894728681670538,Controller Detection,1500,1500,3.7,9.565044164657593
9,1750,1500,1501,1500,4.8,-2.3,356,-166.0,0.15674783192469519,2.4906906713095287,364.13900467143253,-3.104845077702114,2.177411900896628,-0.45046085713605016,-2.454627246477489,2074.486516350014,0.0,0.0,1500.1801843428543,0.03141206698788903,0.00900921714272101,1500.981850898591,0.01920105608027561,0.07815148372551092,Controller Detection,1500,1500,3.7,9.647733926773071
10,1500,1499,1501,1500,4.6,-1.5,357,-167.0,-1000.0,-1000.0,-1000.0,1.6163053869525452,2.4220925941612546,1.030027301822634,-2.7236041188253832,2074.486516350014,0.0,0.0,1499.587989079271,0.03112228376554574,-0.09860602916502371,1501.08944164753,0.021790171762927045,0.13925210514757566,Controller Memory,1500,1500,3.7,9.729302883148193
11,1500,1498,1501,1500,3.7,-0.9,357,-167.0,-1000.0,-1000.0,-1000.0,2.9762610706256707,2.3581757279948747,2.3695055758627492,-2.9672489027011797,2074.486516350014,0.0,0.0,1499.0521977696549,0.029422517326703045,-0.12342984508288526,1501.1868995610805,0.024635598273690325,0.22106729832779953,Controller Memory,1500,1500,3.7,9.805305480957031
12,1500,1498,1501,1500,3.7,-0.9,357,-167.0,-1000.0,-1000.0,-1000.0,4.418267672693683,2.290402532072433,3.7897992940195016,-3.2255936349055405,2074.486516350014,0.0,0.0,1498.4840802823921,0.026342864891761922,-0.15188133265925935,1501.2902374539622,0.027732019542493686,0.3088800375448734,Controller Memory,1500,1500,3.7,9.88589358329773
13,1500,1497,1501,1500,3.2,-0.9,357,-167.0,-1000.0,-1000.0,-1000.0,5.788265880252919,2.2260136750442134,5.139168877551145,-3.471037601351162,2074.486516350014,0.0,0.0,1497.9443324489796,0.021878380805976597,-0.1745161965006526,1501.3884150405404,0.031080335160622037,0.4106538316109666,Controller Memory,1500,1500,3.7,9.962457418441772
14,1500,1497,1502,1500,1.7,0.0,357,-167.0,-1000.0,-1000.0,-1000.0,7.284008944032677,2.1557149069485613,6.612389925510485,-3.7390095653522586,2074.486516350014,0.0,0.0,1497.3550440297959,0.01600260140444578,-0.19980112061326924,1501.495603826141,0.03468535874397375,0.5124276256770598,Controller Memory,1500,1500,3.7,10.046048641204834
15,1500,1496,1502,1500,1.1,0.6,357,-167.0,-1000.0,-1000.0,-1000.0,8.690576614103271,2.089607313442987,7.997778330181202,-3.99100518557381,2074.486516350014,0.0,0.0,1496.8008886679274,0.008697517276599937,-0.23836232371013702,1501.5964020742294,0.03855036611943678,0.5171820341642659,Controller Memory,1500,1500,3.7,10.124656200408936
16,1500,1496,1502,1500,0.4,1.0,357,-167.0,-1000.0,-1000.0,-1000.0,10.014333990565842,2.027391739741651,9.301603349745692,-4.228164810526512,2074.486516350014,0.0,0.0,1496.2793586601017,4.782643663648993e-05,-0.26167131084406264,1501.6912659242107,0.042659951117486945,0.5524687811050664,Controller Memory,1500,1500,3.6,10.198635816574097
17,1500,1495,1502,1500,0.9,0.6,358,-168.0,-1000.0,-1000.0,-1000.0,11.340552937241787,1.9650604741425748,10.684175600819637,-4.279952724069641,2074.486516350014,0.0,0.0,1495.7263297596721,-0.009945063038646175,-0.27589861407742433,1501.711981089628,0.04691400988478502,0.5968507685942074,Controller Memory,1500,1500,3.6,10.2727530002594
18,1500,1494,1502,1500,1.5,-0.3,0,190.0,-1000.0,-1000.0,-1000.0,12.639924983826273,1.9039909921006606,12.11727155549229,-4.0699650299742745,2074.486516350014,0.0,0.0,1495.153091377803,-0.02134578661680214,-0.28040435475381253,1501.6279860119896,0.05108896876180698,0.47703683983602296,Controller Memory,1500,1500,3.6,10.345369815826416
19,1500,1494,1502,1500,1.5,-0.3,0,190.0,-1000.0,-1000.0,-1000.0,13.892753302459415,1.845109029303723,13.361291342412597,-4.229528970959443,2074.486516350014,0.0,0.0,1494.655483463035,-0.034085068065754585,-0.276235043990973,1501.6918115883839,0.055238715762273835,0.4523595796574454,Controller Memory,1500,1500,3.6,10.415385484695435
20,1500,1493,1502,1500,2.0,-0.7,1,189.0,-1000.0,-1000.0,-1000.0,15.190440218655196,1.7832726122377904,14.724455395356879,-4.13762595654083,2074.486516350014,0.0,0.0,1494.1102178418573,-0.048127941434639325,-0.2738885618706849,1501.6550503826163,0.05942229322602397,0.3614109463080954,Controller Memory,1500,1500,3.6,10.488914251327515
21,1500,1493,1501,1500,2.4,-1.0,2,188.0,-1000.0,-1000.0,-1000.0,16.596069335091574,1.718055264877743,16.19545045032853,-4.011061702254716,2074.486516350014,0.0,0.0,1493.5218198198686,-0.06358789435748202,-0.27651889748931563,1501.604424680902,0.06349663705542175,0.264654975916667,Controller Memory,1500,1500,3.6,10.566463232040405
22,1500,1492,1501,1500,2.4,-1.0,2,188.0,-1000.0,-1000.0,-1000.0,17.859166283713613,1.6586906844068676,17.45451697902517,-4.128063972953095,2074.486516350014,0.0,0.0,1493.01819320839,-0.08041287807215887,-0.2732943537001134,1501.6512255891812,0.06756619989302565,0.23369014860239523,Controller Memory,1500,1500,3.6,10.637052774429321
23,1500,1492,1501,1500,2.4,-1.0,2,188.0,-1000.0,-1000.0,-1000.0,19.16568413637679,1.5972853550014945,18.756865859867133,-4.249088377007217,2074.486516350014,0.0,0.0,1492.497253656053,-0.09851856949160502,-0.2723539396463198,1501.699635350803,0.0717547760680058,0.20272532128812357,Controller Memory,1500,1500,3.6,10.710068941116333
24,1500,1491,1501,1500,0.6,-1.3,3,187.0,-1000.0,-1000.0,-1000.0,20.51721843425927,1.5337642874592747,20.177367352657505,-4.022751780125768,2074.486516350014,0.0,0.0,1491.929053058937,-0.11798568609786735,-0.2712995485429404,1501.6091007120503,0.07589069614657229,0.07867911929154922,Controller Memory,1500,1500,3.6,10.785600900650024
25,1500,1490,1502,1500,0.3,-0.8,2,188.0,-1000.0,-1000.0,-1000.0,21.977104483059094,1.465150771357576,21.55931523674677,-4.50951380579818,2074.486516350014,0.0,0.0,1491.3762739053013,-0.1388540273925695,-0.2712307381313114,1501.8038055223192,0.08015682893953427,0.13388723025599022,Controller Memory,1500,1500,3.6,10.867188215255737
