,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,Pterm_z,Iterm_z,Dterm_z,Pterm_roll,Iterm_roll,Dterm_roll,Pterm_pitch,Iterm_pitch,Dterm_pitch,mode,AUX2,AUX3,Battery,time step
0,1400,1501,1501,1500,-1.3,-0.5,9,181.0,-3.375313037414046,4.766572534781264,367.23231861467207,1000.0,1000.0,-3.457987122079548,-4.706939227714794,2085.313115151352,0.0,0.0,1501.3831948488319,0.001728993561039774,0.003457987122079548,1501.882775691086,0.002353469613857397,0.004706939227714794,Controller Detection,1500,1500,3.9,8.845941305160522
1,1750,1501,1501,1500,-1.3,-0.5,9,181.0,-3.313904066176331,4.77850155991629,368.31703582436285,1000.0,1000.0,-3.3967956939206507,-4.719938170326447,2089.10962538527,0.0,0.0,1501.3587182775682,0.0051563849690398735,0.0016678021328808766,1501.8879752681305,0.007066908312878019,0.0023664685564690506,Controller Detection,1500,1500,3.9,8.907931804656982
2,1750,1501,1501,1500,-1.3,-0.5,9,181.0,-3.2458287237293124,4.608309638122033,359.6145952717344,1000.0,1000.0,-3.3257604610865212,-4.550960248130966,2058.6510834510705,0.0,0.0,1501.3303041844347,0.00851766304654346,0.000762865833606309,1501.8203840992524,0.011702357522106726,0.0010142563560390431,Controller Detection,1500,1500,3.9,8.974485397338867
3,1750,1501,1501,1500,-1.3,-0.5,9,181.0,-3.2458287237293124,4.608309638122033,359.6145952717344,1000.0,1000.0,-3.3257604610865212,-4.550960248130966,2058.6510834510705,0.0,0.0,1501.3303041844347,0.011843423507629982,0.0003814329168031545,1501.8203840992524,0.016253317770237693,0.0005071281780195224,Controller Detection,1500,1500,3.9,9.040706872940063
4,1750,1501,1501,1500,-1.3,-0.5,8,182.0,-3.253236260128324,4.733898689133538,360.16807059430243,1000.0,1000.0,-3.416465158189545,-4.617478617824975,2060.5882470800584,0.0,0.0,1501.366586063276,0.015214536317268015,0.0002814211555046011,1501.84699144713,0.020837537203215663,0.00032008245870377116,Controller Detection,1500,1500,3.9,9.106719017028809
5,1750,1501,1501,1500,-1.3,-0.5,8,182.0,-3.2351256192663986,4.7249795693131516,359.44688674559615,1000.0,1000.0,-3.398054277047939,-4.609196983542438,2058.0641036095867,0.0,0.0,1501.3592217108192,0.018621796034886756,0.0001222996966106944,1501.843678793417,0.02545087500389937,0.0001517595950693469,Controller Detection,1500,1500,3.9,9.171289443969727
6,1750,1501,1501,1500,-1.3,-0.5,8,182.0,-3.375313037414046,4.766572534781264,367.23231861467207,1000.0,1000.0,-3.539607870369389,-4.645872141362415,2085.313115151352,0.0,0.0,1501.4158431481478,0.02209062710859542,0.0002027034416267979,1501.858348856545,0.0300784095663518,0.00011255495535464988,Controller Detection,1500,1500,3.9,9.2388596534729
7,1750,1501,1501,1500,-1.2,-0.5,9,181.0,-3.375313037414046,4.766572534781264,367.23231861467207,1000.0,1000.0,-3.457987122079548,-4.706939227714794,2085.313115151352,0.0,0.0,1501.3831948488319,0.025589424604819888,1.973097252355771e-05,1501.882775691086,0.0347548152508904,0.00011734456402970394,Controller Detection,1500,1500,3.9,9.309854745864868
8,1750,1501,1501,1500,-1.2,-0.5,9,181.0,-3.2603166944396667,4.691597117868383,361.2808118985456,1000.0,1000.0,-3.3416997921564326,-4.6339821928374505,2064.4828416449095,0.0,0.0,1501.3366799168625,0.028989268061937877,-0.00010642184366133734,1501.853592877135,0.039425275961166524,-1.4284752862490536e-05,Controller Detection,1500,1500,3.9,9.375997066497803
9,1750,1501,1501,1500,5.5,1.8,12,178.0,-3.002996491906028,4.278937351282188,367.42921885148604,1000.0,1000.0,-2.851834387600127,-4.381133804427701,2086.002265980201,0.0,0.0,1501.14073375504,0.032086035151816156,-0.0005430763263869735,1501.752453521771,0.0439328339597991,-0.000259990764840996,Controller Detection,1500,1500,3.9,9.439611911773682
10,1750,1501,1501,1500,5.5,1.8,12,178.0,-2.723959560933534,4.026749138504642,361.0193644479795,1000.0,1000.0,-2.5817686800868955,-4.119360969443131,2063.567775567928,0.0,0.0,1501.0327074720349,0.034802836685659665,-0.0005416038707067186,1501.6477443877773,0.04818308134673451,-0.00039176821740506717,Controller Detection,1500,1500,3.9,9.498599529266357
11,1750,1500,1501,1500,8.2,4.6,16,174.0,-1.790605050730888,3.2962180921445707,366.334446851128,1000.0,1000.0,-1.4362473171419763,-3.465330258819011,2082.170563978948,0.0,0.0,1500.5744989268567,0.0368118446842741,-0.0014163232982982788,1501.3861321035276,0.05197542696086558,-0.0008499148193266529,Controller Detection,1500,1500,3.9,9.560244083404541
12,1750,1500,1501,1500,8.2,4.6,16,174.0,-1000.0,-1000.0,-1000.0,-0.7304104075396807,2.4664100250386887,-0.46859909319784665,-2.529247450311611,2082.170563978948,0.0,0.0,1500.187439637279,0.03776426788944401,-0.001675809873093269,1501.0116989801247,0.054972715815430895,-0.001361040218170727,Controller Memory,1500,1500,3.9,9.630265951156616
13,1750,1499,1500,1500,6.9,2.5,17,173.0,-1000.0,-1000.0,-1000.0,0.24641420202968,1.7018551894017566,0.45198144243736127,-1.6591394818844662,2082.170563978948,0.0,0.0,1499.819207423025,0.03777257671482425,-0.0017584854721818424,1500.6636557927538,0.05706690928152893,-0.0015506280775125082,Controller Memory,1500,1500,3.9,9.69478154182434
14,1750,1499,1500,1500,6.9,2.5,17,173.0,-1000.0,-1000.0,-1000.0,1.2099580861738504,0.9476950988860313,1.3164342215286713,-0.7931743258189164,2082.170563978948,0.0,0.0,1499.4734263113885,0.036888368882841235,-0.0017436955151822313,1500.3172697303276,0.058293066185380625,-0.001641279194821804,Controller Memory,1500,1500,3.9,9.75841999053955
15,1750,1499,1500,1500,4.0,1.3,16,174.0,-1000.0,-1000.0,-1000.0,2.2702574157030107,0.11780509440354825,2.27013469352194,0.12014677311517546,2082.170563978948,0.0,0.0,1499.0919461225913,0.03509508442531593,-0.0018255482295843842,1499.951941290754,0.05862957996173249,-0.001733960696344994,Controller Memory,1500,1500,3.8,9.82844877243042
16,1750,1498,1499,1500,4.0,1.3,16,174.0,-1000.0,-1000.0,-1000.0,3.2777948309036624,-0.6707884722720427,3.1897222396743854,1.009736679416199,2082.170563978948,0.0,0.0,1498.7241111041303,0.032365155958717765,-0.0018323616609446378,1499.5961053282335,0.05806463823546681,-0.0017565702544735204,Controller Memory,1500,1500,3.8,9.89499282836914
17,1750,1498,1499,1500,3.6,0.4,14,176.0,-1000.0,-1000.0,-1000.0,4.392159239175165,-1.5429948936287614,4.273826277232952,1.8456177762660746,2082.170563978948,0.0,0.0,1498.2904694891067,0.028633381700264096,-0.002000284868030885,1499.2617528894937,0.05663696100762567,-0.0017141662240866358,Controller Memory,1500,1500,3.8,9.968592405319214
18,1750,1497,1498,1500,3.6,0.4,14,176.0,-1000.0,-1000.0,-1000.0,5.4610681175325615,-2.3796235409799795,5.281771083013303,2.754771752389154,2082.170563978948,0.0,0.0,1497.8872915667946,0.02385558302014097,-0.002008087239795794,1498.8980912990444,0.05433676624329806,-0.0017662370881663973,Controller Memory,1500,1500,3.8,10.03918981552124
